type,name,capacity,time-00:00,generation-00:00,note-00:00,time-00:10,generation-00:10,note-00:10,time-00:20,generation-00:20,note-00:20,time-00:30,generation-00:30,note-00:30,time-00:40,generation-00:40,note-00:40,time-00:50,generation-00:50,note-00:50,time-01:00,generation-01:00,note-01:00,time-01:10,generation-01:10,note-01:10,time-01:20,generation-01:20,note-01:20,time-01:30,generation-01:30,note-01:30,time-01:40,generation-01:40,note-01:40,time-01:50,generation-01:50,note-01:50,time-02:00,generation-02:00,note-02:00,generation-12:10,note-12:10
coal,台中#9,550.0,00:00,260.8,運轉限制,00:10,277.8,運轉限制,00:20,278.3,運轉限制,00:30,278.9,運轉限制,00:40,278.4,運轉限制,00:50,278.3,運轉限制,01:00,277.6,運轉限制,01:10,277.7,運轉限制,01:20,277.7,運轉限制,01:30,277.7,運轉限制,01:40,277.7,運轉限制,01:50,278.9,運轉限制,02:00,278.3,運轉限制,297.5,
coal,台中#10,550.0,00:00,524.4,,00:10,525.2,,00:20,521.0,,00:30,522.8,,00:40,522.2,,00:50,524.3,,01:00,522.2,,01:10,523.3,,01:20,523.9,,01:30,525.6,,01:40,525.8,,01:50,523.9,,02:00,522.0,,524.1,
coal,興達#1(註12),500.0,00:00,474.0,,00:10,479.0,,00:20,473.3,,00:30,472.1,,00:40,479.0,,00:50,474.0,,01:00,476.5,,01:10,472.1,,01:20,474.0,,01:30,469.5,,01:40,467.6,,01:50,468.3,,02:00,467.0,,484.1,
coal,興達#2(註12),500.0,00:00,472.1,,00:10,473.3,,00:20,471.4,,00:30,472.7,,00:40,475.9,,00:50,474.0,,01:00,474.6,,01:10,475.2,,01:20,473.3,,01:30,474.0,,01:40,475.9,,01:50,470.8,,02:00,474.6,,475.9,
coal,興達#3(註12),550.0,00:00,517.5,,00:10,519.1,,00:20,521.4,,00:30,525.2,,00:40,526.0,,00:50,519.8,,01:00,518.3,,01:10,519.1,,01:20,516.0,,01:30,522.9,,01:40,523.7,,01:50,522.9,,02:00,513.7,,518.3,
coal,興達#4(註12),550.0,00:00,520.2,,00:10,525.5,,00:20,523.2,,00:30,520.9,,00:40,515.5,,00:50,514.8,,01:00,515.5,,01:10,525.5,,01:20,520.2,,01:30,520.2,,01:40,517.1,,01:50,514.0,,02:00,520.2,,521.7,
coal,大林#1,800.0,00:00,757.7,,00:10,758.6,,00:20,758.6,,00:30,756.2,,00:40,761.6,,00:50,754.6,,01:00,756.2,,01:10,759.2,,01:20,760.1,,01:30,758.6,,01:40,757.7,,01:50,758.6,,02:00,760.1,,758.6,
coal,大林#2,800.0,00:00,759.4,,00:10,759.4,,00:20,757.9,,00:30,759.4,,00:40,759.4,,00:50,756.4,,01:00,759.4,,01:10,761.0,,01:20,759.4,,01:30,761.8,,01:40,762.5,,01:50,760.3,,02:00,759.4,,760.3,
coal,小計,11600.0(23.347%),00:00,10209.6(33.620%),,00:10,10266.9(33.923%),,00:20,10223.4(33.943%),,00:30,10256.1(34.334%),,00:40,10290.7(34.453%),,00:50,10197.5(34.700%),,01:00,10235.3(35.017%),,01:10,10267.8(35.426%),,01:20,10246.4(35.310%),,01:30,10256.4(35.910%),,01:40,10244.6(35.615%),,01:50,10226.7(35.874%),,02:00,10229.9(36.079%),,10261.5(28.343%),
cogen,汽電共生,618.0,00:00,888.3,部分故障,00:10,888.9,部分故障,00:20,882.5,部分故障,00:30,853.5,部分故障,00:40,875.2,部分故障,00:50,891.3,部分故障,01:00,875.4,部分故障,01:10,906.1,部分故障,01:20,930.7,部分故障,01:30,871.9,部分故障,01:40,915.3,部分故障,01:50,861.9,部分故障,02:00,880.2,部分故障,1109.2,部分故障
cogen,小計,618.0(1.244%),00:00,888.3(2.925%),,00:10,888.9(2.937%),,00:20,882.5(2.930%),,00:30,853.5(2.857%),,00:40,875.2(2.930%),,00:50,891.3(3.033%),,01:00,875.4(2.995%),,01:10,906.1(3.126%),,01:20,930.7(3.207%),,01:30,871.9(3.053%),,01:40,915.3(3.182%),,01:50,861.9(3.024%),,02:00,880.2(3.104%),,1109.2(3.064%),
ippcoal,和平#1,648.6,00:00,575.4,,00:10,581.6,,00:20,579.7,,00:30,575.2,,00:40,585.1,,00:50,578.9,,01:00,584.5,,01:10,574.9,,01:20,581.1,,01:30,579.3,,01:40,580.5,,01:50,581.9,,02:00,581.4,,604.2,
ippcoal,和平#2,648.6,00:00,583.9,,00:10,581.1,,00:20,580.4,,00:30,582.5,,00:40,583.5,,00:50,577.5,,01:00,584.0,,01:10,585.9,,01:20,583.3,,01:30,581.5,,01:40,582.8,,01:50,582.0,,02:00,585.8,,603.1,
ippcoal,麥寮#1,600.0,00:00,570.5,,00:10,570.5,,00:20,568.7,,00:30,571.2,,00:40,570.0,,00:50,570.2,,01:00,566.6,,01:10,569.9,,01:20,570.7,,01:30,570.5,,01:40,571.6,,01:50,569.6,,02:00,570.8,,571.8,
ippcoal,麥寮#2,600.0,00:00,569.9,,00:10,567.3,,00:20,566.4,,00:30,567.3,,00:40,566.9,,00:50,567.3,,01:00,567.8,,01:10,568.7,,01:20,567.3,,01:30,568.0,,01:40,568.5,,01:50,569.3,,02:00,567.3,,571.9,
ippcoal,麥寮#3,600.0,00:00,574.3,,00:10,576.5,,00:20,575.2,,00:30,573.8,,00:40,574.9,,00:50,576.5,,01:00,576.5,,01:10,575.2,,01:20,577.4,,01:30,575.7,,01:40,575.4,,01:50,574.3,,02:00,574.1,,576.6,
ippcoal,小計,3097.1(6.234%),00:00,2874.0(9.464%),,00:10,2877.0(9.506%),,00:20,2870.4(9.530%),,00:30,2870.0(9.608%),,00:40,2880.4(9.643%),,00:50,2870.4(9.767%),,01:00,2879.4(9.851%),,01:10,2874.6(9.918%),,01:20,2879.8(9.924%),,01:30,2875.0(10.066%),,01:40,2878.8(10.008%),,01:50,2877.1(10.093%),,02:00,2879.4(10.155%),,2927.6(8.086%),
lng,大潭CC#1,742.7,00:00,611.8,,00:10,605.8,,00:20,694.1,,00:30,701.5,,00:40,714.3,,00:50,718.1,,01:00,707.3,,01:10,662.4,,01:20,679.3,,01:30,656.6,,01:40,685.4,,01:50,680.1,,02:00,682.4,,684.7,
lng,大潭CC#2,742.7,00:00,611.6,,00:10,612.6,,00:20,651.5,,00:30,612.5,,00:40,675.4,,00:50,710.2,,01:00,728.2,,01:10,696.3,,01:20,691.1,,01:30,677.0,,01:40,721.0,,01:50,712.0,,02:00,717.1,,722.3,
lng,大潭CC#3,724.7,00:00,635.6,,00:10,631.3,,00:20,642.0,,00:30,617.0,,00:40,642.0,,00:50,643.1,,01:00,644.9,,01:10,635.8,,01:20,640.0,,01:30,607.0,,01:40,645.8,,01:50,642.0,,02:00,642.1,,623.4,
lng,大潭CC#4,724.7,00:00,675.3,,00:10,674.0,,00:20,680.7,,00:30,676.7,,00:40,677.9,,00:50,679.3,,01:00,678.4,,01:10,678.4,,01:20,679.3,,01:30,677.4,,01:40,684.2,,01:50,682.6,,02:00,678.4,,676.3,
lng,大潭CC#5,724.7,00:00,629.6,,00:10,621.3,,00:20,644.7,,00:30,642.2,,00:40,629.6,,00:50,637.0,,01:00,660.4,,01:10,671.5,,01:20,675.9,,01:30,654.5,,01:40,672.1,,01:50,672.0,,02:00,672.0,,681.7,
lng,大潭CC#6,724.7,00:00,0.0,歲修,00:10,0.0,歲修,00:20,0.0,歲修,00:30,0.0,歲修,00:40,0.0,歲修,00:50,0.0,歲修,01:00,0.0,歲修,01:10,0.0,歲修,01:20,0.0,歲修,01:30,0.0,歲修,01:40,0.0,歲修,01:50,0.0,歲修,02:00,0.0,歲修,0.0,歲修
lng,大潭CC#7,600.0,00:00,297.8,,00:10,297.8,,00:20,299.6,,00:30,298.7,,00:40,297.8,,00:50,199.0,,01:00,198.1,,01:10,198.1,,01:20,197.2,,01:30,197.2,,01:40,198.1,,01:50,198.1,,02:00,33.8,,238.7,
lng,通霄CC#1,892.6,00:00,883.3,,00:10,882.8,,00:20,882.8,,00:30,883.7,,00:40,882.4,,00:50,883.2,,01:00,884.7,,01:10,882.8,,01:20,882.8,,01:30,883.3,,01:40,883.2,,01:50,884.7,,02:00,882.6,,876.5,
lng,通霄CC#2,892.6,00:00,873.1,,00:10,874.0,,00:20,872.1,,00:30,873.1,,00:40,873.5,,00:50,872.6,,01:00,871.7,,01:10,872.6,,01:20,872.6,,01:30,872.2,,01:40,873.1,,01:50,873.6,,02:00,874.2,,865.4,
lng,通霄CC#3,892.6,00:00,867.5,,00:10,868.1,,00:20,866.1,,00:30,868.5,,00:40,868.1,,00:50,867.5,,01:00,867.1,,01:10,869.0,,01:20,868.1,,01:30,867.6,,01:40,867.5,,01:50,868.1,,02:00,867.6,,863.2,
lng,通霄CC#4,386.0,00:00,235.1,部分檢修,00:10,240.7,部分檢修,00:20,248.5,部分檢修,00:30,235.5,部分檢修,00:40,246.5,部分檢修,00:50,240.5,部分檢修,01:00,247.7,部分檢修,01:10,246.7,部分檢修,01:20,242.7,部分檢修,01:30,238.2,部分檢修,01:40,246.1,部分檢修,01:50,242.8,部分檢修,02:00,244.2,部分檢修,253.7,部分檢修
lng,通霄CC#5,386.0,00:00,320.9,,00:10,323.2,,00:20,334.8,,00:30,332.5,,00:40,330.5,,00:50,331.5,,01:00,328.4,,01:10,330.5,,01:20,324.4,,01:30,320.9,,01:40,326.9,,01:50,323.2,,02:00,326.1,,329.2,
lng,通霄CC#6,321.2,00:00,345.3,,00:10,346.0,,00:20,346.4,,00:30,346.0,,00:40,344.9,,00:50,345.1,,01:00,346.0,,01:10,347.0,,01:20,350.9,,01:30,345.6,,01:40,348.5,,01:50,345.9,,02:00,346.0,,346.4,
lng,興達CC#1,445.2,00:00,391.9,,00:10,393.6,,00:20,348.9,,00:30,329.0,,00:40,336.0,,00:50,337.4,,01:00,337.1,,01:10,330.7,,01:20,342.4,,01:30,346.7,,01:40,350.7,,01:50,329.2,,02:00,330.6,,329.5,
lng,興達CC#2,445.2,00:00,0.0,歲修,00:10,0.0,歲修,00:20,0.0,歲修,00:30,0.0,歲修,00:40,0.0,歲修,00:50,0.0,歲修,01:00,0.0,歲修,01:10,0.0,歲修,01:20,0.0,歲修,01:30,0.0,歲修,01:40,0.0,歲修,01:50,0.0,歲修,02:00,0.0,歲修,0.0,歲修
lng,興達CC#3,445.2,00:00,401.6,,00:10,390.0,,00:20,346.1,,00:30,324.7,,00:40,331.2,,00:50,334.3,,01:00,329.0,,01:10,326.2,,01:20,334.9,,01:30,331.9,,01:40,337.0,,01:50,326.0,,02:00,326.0,,325.2,
lng,興達CC#4,445.2,00:00,377.1,,00:10,387.8,,00:20,344.4,,00:30,325.5,,00:40,356.7,,00:50,348.1,,01:00,369.8,,01:10,336.8,,01:20,340.0,,01:30,359.8,,01:40,366.1,,01:50,333.7,,02:00,368.6,,346.3,
lng,興達CC#5,445.2,00:00,391.0,,00:10,392.5,,00:20,352.2,,00:30,327.9,,00:40,345.2,,00:50,332.0,,01:00,364.6,,01:10,329.6,,01:20,343.8,,01:30,343.7,,01:40,349.9,,01:50,328.1,,02:00,329.8,,355.6,
lng,南部CC#1,288.8,00:00,288.4,,00:10,287.5,,00:20,287.9,,00:30,287.9,,00:40,285.3,,00:50,281.1,,01:00,284.1,,01:10,283.7,,01:20,284.9,,01:30,281.4,,01:40,285.8,,01:50,280.3,,02:00,282.2,,286.6,
lng,南部CC#2,288.8,00:00,277.1,,00:10,277.1,,00:20,276.8,,00:30,277.0,,00:40,234.7,,00:50,216.2,,01:00,218.6,,01:10,198.4,,01:20,216.0,,01:30,209.2,,01:40,220.7,,01:50,206.5,,02:00,206.3,,208.1,
lng,南部CC#3,288.8,00:00,259.9,,00:10,259.4,,00:20,260.2,,00:30,259.3,,00:40,231.6,,00:50,225.7,,01:00,227.4,,01:10,227.7,,01:20,228.6,,01:30,228.0,,01:40,233.1,,01:50,226.2,,02:00,227.7,,228.2,
lng,南部CC#4,251.4,00:00,0.0,檢修,00:10,0.0,檢修,00:20,0.0,檢修,00:30,0.0,檢修,00:40,0.0,檢修,00:50,0.0,檢修,01:00,0.0,檢修,01:10,0.0,檢修,01:20,0.0,檢修,01:30,0.0,檢修,01:40,0.0,檢修,01:50,0.0,檢修,02:00,0.0,檢修,0.0,檢修
lng,大林#5,500.0,00:00,449.2,運轉限制,00:10,447.2,運轉限制,00:20,446.6,運轉限制,00:30,448.5,運轉限制,00:40,447.9,運轉限制,00:50,436.1,運轉限制,01:00,406.1,運轉限制,01:10,372.1,運轉限制,01:20,351.9,運轉限制,01:30,349.3,運轉限制,01:40,327.0,運轉限制,01:50,292.4,運轉限制,02:00,265.0,運轉限制,445.9,運轉限制
lng,大林#6,550.0,00:00,0.0,歲修,00:10,0.0,歲修,00:20,0.0,歲修,00:30,0.0,歲修,00:40,0.0,歲修,00:50,0.0,歲修,01:00,0.0,歲修,01:10,0.0,歲修,01:20,0.0,歲修,01:30,0.0,歲修,01:40,0.0,歲修,01:50,0.0,歲修,02:00,0.0,歲修,0.0,歲修
lng,小計,13149.0(26.465%),00:00,9823.1(32.348%),,00:10,9812.7(32.423%),,00:20,9826.4(32.625%),,00:30,9667.7(32.364%),,00:40,9751.5(32.647%),,00:50,9638.0(32.796%),,01:00,9699.6(33.185%),,01:10,9496.3(32.765%),,01:20,9546.8(32.899%),,01:30,9447.5(33.078%),,01:40,9622.2(33.452%),,01:50,9447.5(33.141%),,02:00,9302.7(32.809%),,9686.9(26.756%),
ipplng,海湖#1,450.0,00:00,434.8,,00:10,427.6,,00:20,444.2,,00:30,425.0,,00:40,426.1,,00:50,441.5,,01:00,444.6,,01:10,444.3,,01:20,444.7,,01:30,444.9,,01:40,445.0,,01:50,444.1,,02:00,419.7,,447.6,
ipplng,海湖#2,450.0,00:00,434.6,,00:10,429.5,,00:20,442.1,,00:30,429.1,,00:40,421.2,,00:50,429.6,,01:00,437.2,,01:10,439.5,,01:20,439.6,,01:30,440.7,,01:40,440.6,,01:50,440.0,,02:00,426.6,,450.1,
ipplng,新桃#1,600.0,00:00,0.0,合約限制,00:10,0.0,合約限制,00:20,0.0,合約限制,00:30,0.0,合約限制,00:40,0.0,合約限制,00:50,0.0,合約限制,01:00,0.0,合約限制,01:10,0.0,合約限制,01:20,0.0,合約限制,01:30,0.0,合約限制,01:40,0.0,合約限制,01:50,0.0,合約限制,02:00,0.0,合約限制,600.2,
ipplng,國光#1,480.0,00:00,0.0,檢修,00:10,0.0,檢修,00:20,0.0,檢修,00:30,0.0,檢修,00:40,0.0,檢修,00:50,0.0,檢修,01:00,0.0,檢修,01:10,0.0,檢修,01:20,0.0,檢修,01:30,0.0,檢修,01:40,0.0,檢修,01:50,0.0,檢修,02:00,0.0,檢修,440.1,檢修
ipplng,星彰#1,506.9,00:00,466.6,,00:10,457.8,,00:20,469.2,,00:30,448.4,,00:40,280.0,,00:50,2.5,,01:00,0.0,,01:10,0.0,,01:20,0.0,,01:30,0.0,,01:40,0.0,,01:50,0.0,,02:00,0.0,合約限制,482.5,
ipplng,星元#1,490.0,00:00,256.9,部分故障,00:10,256.9,部分故障,00:20,256.9,部分故障,00:30,257.5,部分故障,00:40,256.3,部分故障,00:50,257.8,部分故障,01:00,256.6,部分故障,01:10,257.5,部分故障,01:20,257.5,部分故障,01:30,257.2,部分故障,01:40,257.2,部分故障,01:50,258.1,部分故障,02:00,258.1,部分故障,252.1,部分故障
ipplng,嘉惠#1,670.0,00:00,0.0,合約限制,00:10,0.0,合約限制,00:20,0.0,合約限制,00:30,0.0,合約限制,00:40,0.0,合約限制,00:50,0.0,合約限制,01:00,0.0,合約限制,01:10,0.0,合約限制,01:20,0.0,合約限制,01:30,0.0,合約限制,01:40,0.0,合約限制,01:50,0.0,合約限制,02:00,0.0,合約限制,664.6,
ipplng,嘉惠#2(註10),-,00:00,193.5,測試運轉,00:10,199.8,測試運轉,00:20,192.3,測試運轉,00:30,200.5,測試運轉,00:40,200.6,測試運轉,00:50,192.7,測試運轉,01:00,198.9,測試運轉,01:10,191.5,測試運轉,01:20,199.5,測試運轉,01:30,193.5,測試運轉,01:40,201.0,測試運轉,01:50,193.1,測試運轉,02:00,192.9,測試運轉,113.9,測試運轉
ipplng,豐德#1,506.9,00:00,493.6,,00:10,493.0,,00:20,492.8,,00:30,462.4,,00:40,471.1,,00:50,476.8,,01:00,478.4,,01:10,461.5,,01:20,472.6,,01:30,461.7,,01:40,474.7,,01:50,468.6,,02:00,471.9,,442.6,
ipplng,豐德#2,506.9,00:00,6.5,,00:10,6.6,,00:20,0.0,,00:30,0.0,,00:40,0.0,,00:50,0.0,,01:00,0.0,,01:10,0.0,,01:20,0.0,,01:30,0.0,,01:40,0.0,,01:50,0.0,,02:00,0.0,檢修,427.4,檢修
ipplng,小計,4660.6(9.380%),00:00,2286.5(7.529%),,00:10,2271.2(7.504%),,00:20,2297.5(7.628%),,00:30,2222.9(7.442%),,00:40,2055.3(6.881%),,00:50,1800.9(6.128%),,01:00,1815.7(6.212%),,01:10,1794.3(6.191%),,01:20,1813.9(6.251%),,01:30,1798.0(6.295%),,01:40,1818.5(6.322%),,01:50,1803.9(6.328%),,02:00,1769.2(6.240%),,4321.1(11.935%),
oil,協和#3,500.0,00:00,288.1,環保限制,00:10,290.0,環保限制,00:20,289.4,環保限制,00:30,290.6,環保限制,00:40,288.7,環保限制,00:50,270.8,環保限制,01:00,247.8,環保限制,01:10,203.1,環保限制,01:20,166.1,環保限制,01:30,146.3,環保限制,01:40,139.9,環保限制,01:50,137.3,環保限制,02:00,137.3,環保限制,409.4,環保限制
oil,協和#4,500.0,00:00,0.0,歲修,00:10,0.0,歲修,00:20,0.0,歲修,00:30,0.0,歲修,00:40,0.0,歲修,00:50,0.0,歲修,01:00,0.0,歲修,01:10,0.0,歲修,01:20,0.0,歲修,01:30,0.0,歲修,01:40,0.0,歲修,01:50,0.0,歲修,02:00,0.0,歲修,0.0,歲修
oil,小計,1000.0(2.013%),00:00,288.1(0.949%),,00:10,290.0(0.958%),,00:20,289.4(0.961%),,00:30,290.6(0.973%),,00:40,288.7(0.967%),,00:50,270.8(0.921%),,01:00,247.8(0.848%),,01:10,203.1(0.701%),,01:20,166.1(0.572%),,01:30,146.3(0.512%),,01:40,139.9(0.486%),,01:50,137.3(0.482%),,02:00,137.3(0.484%),,409.4(1.131%),
diesel,核二Gas1,-,00:00,0.0,,00:10,0.0,,00:20,0.0,,00:30,0.0,,00:40,0.0,,00:50,0.0,,01:00,0.0,,01:10,0.0,,01:20,0.0,,01:30,0.0,,01:40,0.0,,01:50,0.0,,02:00,0.0,,0.0,
diesel,核二Gas2,-,00:00,0.0,,00:10,0.0,,00:20,0.0,,00:30,0.0,,00:40,0.0,,00:50,0.0,,01:00,0.0,,01:10,0.0,,01:20,0.0,,01:30,0.0,,01:40,0.0,,01:50,0.0,,02:00,0.0,,0.0,
diesel,核三Gas1,-,00:00,0.0,,00:10,0.0,,00:20,0.0,,00:30,0.0,,00:40,0.0,,00:50,0.0,,01:00,0.0,,01:10,0.0,,01:20,0.0,,01:30,0.0,,01:40,0.0,,01:50,0.0,,02:00,0.0,,0.0,
diesel,核三Gas2,-,00:00,0.0,,00:10,0.0,,00:20,0.0,,00:30,0.0,,00:40,0.0,,00:50,0.0,,01:00,0.0,,01:10,0.0,,01:20,0.0,,01:30,0.0,,01:40,0.0,,01:50,0.0,,02:00,0.0,,0.0,
diesel,台中Gas1&amp;2,140.0,00:00,0.0,,00:10,0.0,,00:20,0.0,,00:30,0.0,,00:40,0.0,,00:50,0.0,,01:00,0.0,,01:10,0.0,,01:20,0.0,,01:30,0.0,,01:40,0.0,,01:50,0.0,,02:00,0.0,,38.9,
diesel,台中Gas3&amp;4,140.0,00:00,0.0,,00:10,0.0,,00:20,0.0,,00:30,0.0,,00:40,0.0,,00:50,0.0,,01:00,0.0,,01:10,0.0,,01:20,0.0,,01:30,0.0,,01:40,0.0,,01:50,0.0,,02:00,0.0,,39.4,
diesel,澎湖尖山(註4),129.8,00:00,65.5,,00:10,65.4,,00:20,64.6,,00:30,63.8,,00:40,63.4,,00:50,62.4,,01:00,61.9,,01:10,61.4,,01:20,60.9,,01:30,60.1,,01:40,60.1,,01:50,59.6,,02:00,58.6,,62.1,
diesel,金門塔山(註4),113.3,00:00,38.2,,00:10,40.0,,00:20,40.1,,00:30,39.0,,00:40,35.9,,00:50,35.1,,01:00,36.7,,01:10,36.1,,01:20,35.7,,01:30,35.5,,01:40,34.7,,01:50,35.0,,02:00,35.6,,46.9,
diesel,馬祖珠山(註4),28.6,00:00,7.2,,00:10,7.0,,00:20,7.0,,00:30,6.9,,00:40,6.7,,00:50,6.7,,01:00,6.5,,01:10,6.6,,01:20,6.6,,01:30,6.5,,01:40,6.3,,01:50,6.4,,02:00,6.4,,9.2,
diesel,離島其他(註4),42.7,00:00,N/A,,00:10,N/A,,00:20,N/A,,00:30,N/A,,00:40,N/A,,00:50,N/A,,01:00,N/A,,01:10,N/A,,01:20,N/A,,01:30,N/A,,01:40,N/A,,01:50,N/A,,02:00,N/A,,N/A,
diesel,小計(註5),594.4(1.196%),00:00,110.9(0.365%),,00:10,112.4(0.371%),,00:20,111.7(0.371%),,00:30,109.7(0.367%),,00:40,106.0(0.355%),,00:50,104.2(0.355%),,01:00,105.1(0.360%),,01:10,104.1(0.359%),,01:20,103.2(0.356%),,01:30,102.1(0.357%),,01:40,101.1(0.351%),,01:50,101.0(0.354%),,02:00,100.6(0.355%),,196.5(0.543%),
hydro,德基#1,78.0,00:00,0.0,,00:10,0.0,,00:20,0.0,,00:30,0.0,,00:40,0.0,,00:50,0.0,,01:00,0.0,,01:10,0.0,,01:20,0.0,,01:30,0.0,,01:40,0.0,,01:50,0.0,,02:00,0.0,,0.0,
hydro,德基#2,78.0,00:00,0.0,,00:10,0.0,,00:20,0.0,,00:30,0.0,,00:40,0.0,,00:50,0.0,,01:00,0.0,,01:10,0.0,,01:20,0.0,,01:30,0.0,,01:40,0.0,,01:50,0.0,,02:00,0.0,,0.0,
hydro,德基#3,78.0,00:00,0.0,,00:10,0.0,,00:20,0.0,,00:30,0.0,,00:40,0.0,,00:50,0.0,,01:00,0.0,,01:10,0.0,,01:20,0.0,,01:30,0.0,,01:40,0.0,,01:50,0.0,,02:00,0.0,,0.0,
