type,name,capacity,time-19:30,generation-19:30,note-19:30,time-19:40,generation-19:40,note-19:40,time-19:50,generation-19:50,note-19:50,time-20:00,generation-20:00,note-20:00,time-20:10,generation-20:10,note-20:10,time-20:20,generation-20:20,note-20:20,time-20:30,generation-20:30,note-20:30,time-20:40,generation-20:40,note-20:40,time-20:50,generation-20:50,note-20:50
coal,小計,11600.0(23.347%),19:30,9404.4(29.773%),,19:40,9428.5(29.747%),,19:50,9399.6(29.691%),,20:00,9395.5(29.481%),,20:10,9400.4(29.610%),,20:20,9440.9(29.797%),,20:30,9415.3(29.741%),,20:40,9426.9(29.910%),,20:50,9414.0(29.687%),
cogen,汽電共生,618.0,19:30,1012.7,,19:40,1182.2,,19:50,1058.7,,20:00,1051.7,,20:10,949.4,,20:20,1105.4,,20:30,1013.2,,20:40,1025.0,,20:50,1154.1,
cogen,小計,618.0(1.244%),19:30,1012.7(3.206%),,19:40,1182.2(3.730%),,19:50,1058.7(3.344%),,20:00,1051.7(3.300%),,20:10,949.4(2.990%),,20:20,1105.4(3.489%),,20:30,1013.2(3.200%),,20:40,1025.0(3.252%),,20:50,1154.1(3.639%),
ippcoal,和平#1,648.6,19:30,574.7,,19:40,577.7,,19:50,573.1,,20:00,572.5,,20:10,573.6,,20:20,570.9,,20:30,577.1,,20:40,576.3,,20:50,573.0,
ippcoal,和平#2,648.6,19:30,571.6,,19:40,573.4,,19:50,578.7,,20:00,572.4,,20:10,572.2,,20:20,568.0,,20:30,574.3,,20:40,574.3,,20:50,572.0,
ippcoal,麥寮#1,600.0,19:30,567.6,,19:40,570.5,,19:50,571.8,,20:00,569.7,,20:10,571.1,,20:20,571.2,,20:30,571.5,,20:40,570.6,,20:50,570.8,
ippcoal,麥寮#2,600.0,19:30,568.4,,19:40,570.3,,19:50,569.0,,20:00,570.3,,20:10,569.3,,20:20,567.5,,20:30,569.0,,20:40,569.6,,20:50,568.4,
ippcoal,麥寮#3,600.0,19:30,0.0,檢修,19:40,0.0,檢修,19:50,0.0,檢修,20:00,0.0,檢修,20:10,0.0,檢修,20:20,0.0,檢修,20:30,0.0,檢修,20:40,0.0,檢修,20:50,0.0,檢修
ippcoal,小計,3097.1(6.234%),19:30,2282.3(7.225%),,19:40,2291.9(7.231%),,19:50,2292.6(7.242%),,20:00,2284.9(7.170%),,20:10,2286.2(7.201%),,20:20,2277.6(7.188%),,20:30,2291.9(7.240%),,20:40,2290.8(7.268%),,20:50,2284.2(7.203%),
lng,大潭CC#1,742.7,19:30,692.0,,19:40,691.0,,19:50,691.6,,20:00,691.0,,20:10,689.4,,20:20,692.8,,20:30,692.8,,20:40,691.8,,20:50,690.0,
lng,大潭CC#2,742.7,19:30,716.1,,19:40,716.7,,19:50,715.2,,20:00,714.7,,20:10,718.5,,20:20,718.0,,20:30,719.6,,20:40,716.5,,20:50,714.3,
lng,大潭CC#3,724.7,19:30,660.5,,19:40,658.5,,19:50,659.5,,20:00,658.0,,20:10,662.5,,20:20,662.5,,20:30,662.4,,20:40,660.0,,20:50,660.0,
lng,大潭CC#4,724.7,19:30,686.6,,19:40,687.1,,19:50,688.6,,20:00,687.5,,20:10,690.6,,20:20,689.1,,20:30,688.5,,20:40,688.5,,20:50,688.5,
lng,大潭CC#5,724.7,19:30,684.7,,19:40,681.4,,19:50,684.2,,20:00,686.7,,20:10,683.7,,20:20,686.2,,20:30,686.7,,20:40,686.7,,20:50,686.2,
lng,大潭CC#6,724.7,19:30,0.0,歲修,19:40,0.0,歲修,19:50,0.0,歲修,20:00,0.0,歲修,20:10,0.0,歲修,20:20,0.0,歲修,20:30,0.0,歲修,20:40,0.0,歲修,20:50,0.0,歲修
lng,大潭CC#7,600.0,19:30,478.3,,19:40,477.4,,19:50,477.4,,20:00,371.3,,20:10,278.4,,20:20,278.4,,20:30,277.5,,20:40,278.4,,20:50,277.5,
lng,通霄CC#1,892.6,19:30,879.7,,19:40,876.8,,19:50,876.7,,20:00,878.7,,20:10,877.6,,20:20,878.7,,20:30,881.9,,20:40,880.1,,20:50,877.2,
lng,通霄CC#2,892.6,19:30,869.6,,19:40,865.6,,19:50,871.4,,20:00,866.5,,20:10,871.0,,20:20,874.4,,20:30,871.1,,20:40,871.1,,20:50,867.5,
lng,通霄CC#3,892.6,19:30,814.8,,19:40,812.7,,19:50,812.1,,20:00,813.1,,20:10,813.7,,20:20,814.6,,20:30,813.7,,20:40,812.7,,20:50,812.1,
lng,通霄CC#4,386.0,19:30,308.0,,19:40,353.3,,19:50,348.1,,20:00,353.9,,20:10,345.3,,20:20,319.2,,20:30,352.5,,20:40,323.1,,20:50,348.0,
lng,通霄CC#5,386.0,19:30,319.3,,19:40,336.7,,19:50,327.3,,20:00,333.4,,20:10,337.1,,20:20,322.6,,20:30,338.3,,20:40,321.7,,20:50,334.4,
lng,通霄CC#6,321.2,19:30,345.0,,19:40,343.7,,19:50,343.1,,20:00,344.6,,20:10,344.6,,20:20,345.7,,20:30,344.9,,20:40,346.2,,20:50,345.5,
lng,興達CC#1,445.2,19:30,341.3,,19:40,380.1,,19:50,404.5,,20:00,428.3,,20:10,430.5,,20:20,397.7,,20:30,413.9,,20:40,384.7,,20:50,426.2,
lng,興達CC#2,445.2,19:30,0.0,歲修,19:40,0.0,歲修,19:50,0.0,歲修,20:00,0.0,歲修,20:10,0.0,歲修,20:20,0.0,歲修,20:30,0.0,歲修,20:40,0.0,歲修,20:50,0.0,歲修
lng,興達CC#3,445.2,19:30,326.0,,19:40,341.8,,19:50,370.3,,20:00,387.3,,20:10,391.4,,20:20,378.5,,20:30,371.0,,20:40,357.3,,20:50,387.2,
lng,興達CC#4,445.2,19:30,348.6,,19:40,374.4,,19:50,384.8,,20:00,384.8,,20:10,379.6,,20:20,383.1,,20:30,381.9,,20:40,372.0,,20:50,384.1,
lng,興達CC#5,445.2,19:30,384.3,,19:40,411.9,,19:50,439.3,,20:00,444.1,,20:10,439.8,,20:20,443.4,,20:30,442.3,,20:40,430.1,,20:50,445.0,
lng,南部CC#1,288.8,19:30,290.0,,19:40,289.0,,19:50,288.7,,20:00,289.3,,20:10,288.4,,20:20,289.3,,20:30,289.3,,20:40,288.7,,20:50,288.5,
lng,南部CC#2,288.8,19:30,278.1,,19:40,276.5,,19:50,277.8,,20:00,277.8,,20:10,277.5,,20:20,278.1,,20:30,278.2,,20:40,278.1,,20:50,277.8,
lng,南部CC#3,288.8,19:30,261.1,,19:40,258.8,,19:50,260.0,,20:00,259.7,,20:10,260.0,,20:20,260.2,,20:30,259.7,,20:40,260.2,,20:50,259.9,
lng,南部CC#4,251.4,19:30,0.0,檢修,19:40,0.0,檢修,19:50,0.0,檢修,20:00,0.0,檢修,20:10,0.0,檢修,20:20,0.0,檢修,20:30,0.0,檢修,20:40,0.0,檢修,20:50,0.0,檢修
lng,大林#5,500.0,19:30,447.2,運轉限制,19:40,447.2,運轉限制,19:50,447.2,運轉限制,20:00,447.2,運轉限制,20:10,445.2,運轉限制,20:20,447.2,運轉限制,20:30,446.6,運轉限制,20:40,449.2,運轉限制,20:50,445.9,運轉限制
lng,大林#6,550.0,19:30,0.0,歲修,19:40,0.0,歲修,19:50,0.0,歲修,20:00,0.0,歲修,20:10,0.0,歲修,20:20,0.0,歲修,20:30,0.0,歲修,20:40,0.0,歲修,20:50,0.0,歲修
lng,小計,13149.0(26.465%),19:30,10131.2(32.074%),,19:40,10280.6(32.436%),,19:50,10367.8(32.749%),,20:00,10317.9(32.375%),,20:10,10224.8(32.206%),,20:20,10159.7(32.066%),,20:30,10212.8(32.260%),,20:40,10097.1(32.036%),,20:50,10215.8(32.215%),
ipplng,海湖#1,450.0,19:30,447.7,,19:40,445.8,,19:50,448.1,,20:00,447.1,,20:10,447.1,,20:20,446.8,,20:30,446.9,,20:40,446.8,,20:50,445.5,
ipplng,海湖#2,450.0,19:30,451.8,,19:40,448.9,,19:50,451.6,,20:00,449.7,,20:10,449.8,,20:20,449.4,,20:30,449.6,,20:40,450.1,,20:50,448.4,
ipplng,新桃#1,600.0,19:30,0.0,檢修,19:40,0.0,檢修,19:50,0.0,檢修,20:00,0.0,檢修,20:10,0.0,檢修,20:20,0.0,檢修,20:30,0.0,檢修,20:40,0.0,檢修,20:50,0.0,檢修
ipplng,國光#1,480.0,19:30,459.0,,19:40,457.9,,19:50,457.6,,20:00,458.6,,20:10,458.6,,20:20,458.9,,20:30,460.7,,20:40,461.2,,20:50,458.7,
ipplng,星彰#1,506.9,19:30,489.0,,19:40,487.3,,19:50,489.7,,20:00,489.3,,20:10,488.8,,20:20,490.6,,20:30,490.8,,20:40,490.3,,20:50,489.9,
ipplng,星元#1,490.0,19:30,254.0,部分故障,19:40,253.4,部分故障,19:50,253.7,部分故障,20:00,254.4,部分故障,20:10,253.7,部分故障,20:20,254.0,部分故障,20:30,254.6,部分故障,20:40,254.0,部分故障,20:50,254.3,部分故障
ipplng,嘉惠#1,670.0,19:30,0.0,檢修,19:40,0.0,檢修,19:50,0.0,檢修,20:00,0.0,檢修,20:10,0.0,檢修,20:20,0.0,檢修,20:30,0.0,檢修,20:40,0.0,檢修,20:50,0.0,檢修
ipplng,嘉惠#2(註10),-,19:30,0.0,,19:40,0.0,,19:50,0.0,,20:00,0.0,,20:10,0.0,,20:20,0.0,,20:30,0.0,,20:40,0.0,,20:50,0.0,
ipplng,豐德#1,506.9,19:30,476.7,,19:40,394.9,,19:50,396.6,,20:00,447.8,,20:10,462.7,,20:20,474.3,,20:30,479.2,,20:40,480.9,,20:50,478.8,
ipplng,豐德#2,506.9,19:30,480.9,,19:40,394.5,,19:50,396.1,,20:00,448.0,,20:10,465.6,,20:20,476.7,,20:30,481.8,,20:40,484.0,,20:50,482.6,
ipplng,小計,4660.6(9.380%),19:30,3059.1(9.685%),,19:40,2882.7(9.095%),,19:50,2893.4(9.139%),,20:00,2994.9(9.397%),,20:10,3026.3(9.532%),,20:20,3050.7(9.628%),,20:30,3063.6(9.677%),,20:40,3067.3(9.732%),,20:50,3058.2(9.644%),
oil,協和#3,500.0,19:30,432.4,環保限制,19:40,431.8,環保限制,19:50,432.4,環保限制,20:00,428.0,環保限制,20:10,433.7,環保限制,20:20,431.2,環保限制,20:30,411.4,環保限制,20:40,359.6,環保限制,20:50,327.0,環保限制
oil,協和#4,500.0,19:30,0.0,歲修,19:40,0.0,歲修,19:50,0.0,歲修,20:00,0.0,歲修,20:10,0.0,歲修,20:20,0.0,歲修,20:30,0.0,歲修,20:40,0.0,歲修,20:50,0.0,歲修
oil,小計,1000.0(2.013%),19:30,432.4(1.369%),,19:40,431.8(1.362%),,19:50,432.4(1.366%),,20:00,428.0(1.343%),,20:10,433.7(1.366%),,20:20,431.2(1.361%),,20:30,411.4(1.300%),,20:40,359.6(1.141%),,20:50,327.0(1.031%),
diesel,核二Gas1,-,19:30,0.0,,19:40,0.0,,19:50,0.0,,20:00,0.0,,20:10,0.0,,20:20,0.0,,20:30,0.0,,20:40,0.0,,20:50,0.0,
diesel,核二Gas2,-,19:30,2.7,,19:40,0.0,,19:50,0.0,,20:00,0.0,,20:10,0.0,,20:20,0.0,,20:30,0.0,,20:40,0.0,,20:50,0.0,
diesel,核三Gas1,-,19:30,0.0,,19:40,0.0,,19:50,0.0,,20:00,0.0,,20:10,0.0,,20:20,0.0,,20:30,0.0,,20:40,0.0,,20:50,0.0,
diesel,核三Gas2,-,19:30,0.0,,19:40,0.0,,19:50,0.0,,20:00,0.0,,20:10,0.0,,20:20,0.0,,20:30,0.0,,20:40,0.0,,20:50,0.0,
diesel,台中Gas1&amp;2,140.0,19:30,54.7,,19:40,0.0,,19:50,0.0,,20:00,0.0,,20:10,0.0,,20:20,0.0,,20:30,0.0,,20:40,0.0,,20:50,0.0,
diesel,台中Gas3&amp;4,140.0,19:30,55.3,,19:40,0.0,,19:50,0.0,,20:00,0.0,,20:10,0.0,,20:20,0.0,,20:30,0.0,,20:40,0.0,,20:50,0.0,
diesel,澎湖尖山(註4),129.8,19:30,75.7,,19:40,75.7,,19:50,75.6,,20:00,75.4,,20:10,75.6,,20:20,75.8,,20:30,75.9,,20:40,76.3,,20:50,76.0,
diesel,金門塔山(註4),113.3,19:30,45.7,,19:40,45.6,,19:50,45.9,,20:00,46.1,,20:10,44.6,,20:20,44.6,,20:30,44.3,,20:40,44.4,,20:50,44.4,
diesel,馬祖珠山(註4),28.6,19:30,8.3,,19:40,8.3,,19:50,8.2,,20:00,8.2,,20:10,8.5,,20:20,8.5,,20:30,8.4,,20:40,8.1,,20:50,8.1,
diesel,離島其他(註4),42.7,19:30,N/A,,19:40,N/A,,19:50,N/A,,20:00,N/A,,20:10,N/A,,20:20,N/A,,20:30,N/A,,20:40,N/A,,20:50,N/A,
diesel,小計(註5),594.4(1.196%),19:30,242.4(0.767%),,19:40,129.6(0.409%),,19:50,129.7(0.410%),,20:00,129.7(0.407%),,20:10,128.7(0.405%),,20:20,128.9(0.407%),,20:30,128.6(0.406%),,20:40,128.8(0.409%),,20:50,128.5(0.405%),
hydro,德基#1,78.0,19:30,0.0,,19:40,0.0,,19:50,0.0,,20:00,0.0,,20:10,0.0,,20:20,0.0,,20:30,0.0,,20:40,0.0,,20:50,0.0,
hydro,德基#2,78.0,19:30,0.0,,19:40,0.0,,19:50,0.0,,20:00,0.0,,20:10,0.0,,20:20,0.0,,20:30,0.0,,20:40,0.0,,20:50,0.0,
hydro,德基#3,78.0,19:30,0.0,,19:40,0.0,,19:50,0.0,,20:00,0.0,,20:10,0.0,,20:20,0.0,,20:30,0.0,,20:40,0.0,,20:50,0.0,
hydro,青山#1,92.0,19:30,0.0,,19:40,0.0,,19:50,0.0,,20:00,0.0,,20:10,0.0,,20:20,0.0,,20:30,0.0,,20:40,0.0,,20:50,0.0,
hydro,青山#2,92.0,19:30,0.0,,19:40,0.0,,19:50,0.0,,20:00,0.0,,20:10,0.0,,20:20,0.0,,20:30,0.0,,20:40,0.0,,20:50,0.0,
hydro,青山#3,92.0,19:30,5.7,,19:40,10.9,,19:50,11.6,,20:00,14.1,,20:10,14.9,,20:20,10.4,,20:30,10.1,,20:40,4.7,,20:50,11.6,
hydro,青山#4,92.0,19:30,5.7,,19:40,11.4,,19:50,13.6,,20:00,16.1,,20:10,15.9,,20:20,9.6,,20:30,9.9,,20:40,4.6,,20:50,11.9,
hydro,谷關#1,54.4,19:30,14.6,,19:40,14.7,,19:50,19.1,,20:00,16.3,,20:10,18.1,,20:20,18.6,,20:30,21.6,,20:40,19.2,,20:50,23.9,
hydro,谷關#2,54.4,19:30,0.0,,19:40,0.0,,19:50,0.0,,20:00,0.0,,20:10,0.0,,20:20,0.0,,20:30,0.0,,20:40,0.0,,20:50,0.0,
hydro,谷關#3,54.4,19:30,0.0,歲修,19:40,0.0,歲修,19:50,0.0,歲修,20:00,0.0,歲修,20:10,0.0,歲修,20:20,0.0,歲修,20:30,0.0,歲修,20:40,0.0,歲修,20:50,0.0,歲修
hydro,谷關#4,54.4,19:30,0.0,,19:40,0.0,,19:50,0.0,,20:00,0.0,,20:10,0.0,,20:20,0.0,,20:30,0.0,,20:40,0.0,,20:50,0.0,
hydro,天輪#1,22.5,19:30,19.4,,19:40,19.4,,19:50,19.4,,20:00,19.3,,20:10,19.3,,20:20,19.3,,20:30,18.4,,20:40,18.3,,20:50,18.3,
hydro,天輪#2,22.5,19:30,0.0,,19:40,0.0,,19:50,0.0,,20:00,0.0,,20:10,0.0,,20:20,0.0,,20:30,0.0,,20:40,0.0,,20:50,0.0,
hydro,天輪#3,22.5,19:30,0.0,歲修,19:40,0.0,歲修,19:50,0.0,歲修,20:00,0.0,歲修,20:10,0.0,歲修,20:20,0.0,歲修,20:30,0.0,歲修,20:40,0.0,歲修,20:50,0.0,歲修
hydro,天輪#4,22.5,19:30,0.0,,19:40,0.0,,19:50,0.0,,20:00,0.0,,20:10,0.0,,20:20,0.0,,20:30,0.0,,20:40,0.0,,20:50,0.0,
hydro,天輪#5,105.0,19:30,0.0,,19:40,0.0,,19:50,0.0,,20:00,0.0,,20:10,0.0,,20:20,0.0,,20:30,0.0,,20:40,0.0,,20:50,0.0,
hydro,馬鞍#1,66.7,19:30,5.3,,19:40,6.7,,19:50,7.6,,20:00,7.6,,20:10,6.9,,20:20,6.6,,20:30,7.1,,20:40,5.3,,20:50,6.7,
hydro,馬鞍#2,66.7,19:30,0.0,,19:40,0.0,,19:50,0.0,,20:00,0.0,,20:10,0.0,,20:20,0.0,,20:30,0.0,,20:40,0.0,,20:50,0.0,
hydro,卓蘭#1,40.0,19:30,0.0,,19:40,0.0,,19:50,0.0,,20:00,0.0,,20:10,0.0,,20:20,0.0,,20:30,0.0,,20:40,0.0,,20:50,0.0,
hydro,卓蘭#2,40.0,19:30,40.0,,19:40,40.0,,19:50,40.0,,20:00,39.9,,20:10,40.0,,20:20,40.0,,20:30,40.0,,20:40,40.0,,20:50,40.0,
hydro,萬大#1,10.4,19:30,0.0,,19:40,0.0,,19:50,0.0,,20:00,0.0,,20:10,0.0,,20:20,0.0,,20:30,0.0,,20:40,0.0,,20:50,0.0,
hydro,萬大#2,10.4,19:30,0.0,,19:40,0.0,,19:50,0.0,,20:00,0.0,,20:10,0.0,,20:20,0.0,,20:30,0.0,,20:40,0.0,,20:50,0.0,
hydro,萬大#3,15.3,19:30,3.3,,19:40,3.3,,19:50,3.3,,20:00,3.3,,20:10,3.3,,20:20,3.4,,20:30,3.3,,20:40,3.3,,20:50,3.3,
hydro,萬大#4,19.7,19:30,0.0,,19:40,0.0,,19:50,0.0,,20:00,0.0,,20:10,0.0,,20:20,0.0,,20:30,0.0,,20:40,0.0,,20:50,0.0,
hydro,松林#1&amp;2,20.9,19:30,0.0,,19:40,0.0,,19:50,0.0,,20:00,0.0,,20:10,0.0,,20:20,0.0,,20:30,0.0,,20:40,0.0,,20:50,0.0,
hydro,大觀一#1,22.0,19:30,6.8,,19:40,7.0,,19:50,6.8,,20:00,6.8,,20:10,6.9,,20:20,6.8,,20:30,6.8,,20:40,6.7,,20:50,6.8,
hydro,大觀一#2,22.0,19:30,1.6,,19:40,9.5,,19:50,10.4,,20:00,10.8,,20:10,9.7,,20:20,9.8,,20:30,9.5,,20:40,4.3,,20:50,11.1,
hydro,大觀一#3,22.0,19:30,0.0,,19:40,8.8,,19:50,10.2,,20:00,10.8,,20:10,8.7,,20:20,9.1,,20:30,9.1,,20:40,4.5,,20:50,10.7,
hydro,大觀一#4,22.0,19:30,2.4,,19:40,9.1,,19:50,9.8,,20:00,9.9,,20:10,9.4,,20:20,8.8,,20:30,9.0,,20:40,5.9,,20:50,9.9,
hydro,大觀一#5,22.0,19:30,0.0,檢修,19:40,0.0,檢修,19:50,0.0,檢修,20:00,0.0,檢修,20:10,0.0,檢修,20:20,0.0,檢修,20:30,0.0,檢修,20:40,0.0,檢修,20:50,0.0,檢修
hydro,鉅工#1,21.8,19:30,0.0,歲修,19:40,0.0,歲修,19:50,0.0,歲修,20:00,0.0,歲修,20:10,0.0,歲修,20:20,0.0,歲修,20:30,0.0,歲修,20:40,0.0,歲修,20:50,0.0,歲修
hydro,鉅工#2,21.8,19:30,13.2,,19:40,13.2,,19:50,12.6,,20:00,13.1,,20:10,13.5,,20:20,14.2,,20:30,13.9,,20:40,13.3,,20:50,13.5,
hydro,水里#1,12.8,19:30,0.0,,19:40,0.0,,19:50,0.0,,20:00,0.0,,20:10,0.0,,20:20,0.0,,20:30,0.0,,20:40,0.0,,20:50,0.0,
hydro,立霧#1&amp;#2,32.0,19:30,7.0,,19:40,7.0,,19:50,7.0,,20:00,7.0,,20:10,7.0,,20:20,7.0,,20:30,7.0,,20:40,7.0,,20:50,7.0,
hydro,龍澗#1,48.6,19:30,10.4,,19:40,10.4,,19:50,10.4,,20:00,10.4,,20:10,10.5,,20:20,10.2,,20:30,10.3,,20:40,10.3,,20:50,10.3,
hydro,龍澗#2,48.6,19:30,0.0,,19:40,0.0,,19:50,0.0,,20:00,0.0,,20:10,0.0,,20:20,0.0,,20:30,0.0,,20:40,0.0,,20:50,0.0,
hydro,碧海,61.2,19:30,5.0,,19:40,5.2,,19:50,4.9,,20:00,5.3,,20:10,5.2,,20:20,5.0,,20:30,5.2,,20:40,5.0,,20:50,5.2,
hydro,烏來&amp;桂山&amp;粗坑,40.5,19:30,8.5,,19:40,8.0,,19:50,7.8,,20:00,7.9,,20:10,8.0,,20:20,7.8,,20:30,8.0,,20:40,8.4,,20:50,8.9,
hydro,北部小水力(註6),26.6,19:30,N/A,,19:40,N/A,,19:50,N/A,,20:00,N/A,,20:10,N/A,,20:20,N/A,,20:30,N/A,,20:40,N/A,,20:50,N/A,
hydro,中部小水力(註6),9.8,19:30,N/A,,19:40,N/A,,19:50,N/A,,20:00,N/A,,20:10,N/A,,20:20,N/A,,20:30,N/A,,20:40,N/A,,20:50,N/A,
hydro,南部小水力(註6),7.2,19:30,N/A,,19:40,N/A,,19:50,N/A,,20:00,N/A,,20:10,N/A,,20:20,N/A,,20:30,N/A,,20:40,N/A,,20:50,N/A,
hydro,東部小水力(註6),54.6,19:30,16.0,,19:40,16.0,,19:50,16.0,,20:00,16.0,,20:10,16.0,,20:20,16.0,,20:30,16.0,,20:40,16.0,,20:50,16.0,
hydro,翡翠#1,70.0,19:30,70.7,,19:40,71.2,,19:50,71.4,,20:00,70.5,,20:10,70.8,,20:20,70.9,,20:30,70.9,,20:40,70.9,,20:50,70.9,
hydro,石門#1,45.0,19:30,0.0,,19:40,0.0,,19:50,0.0,,20:00,0.0,,20:10,0.0,,20:20,0.0,,20:30,0.0,,20:40,0.0,,20:50,0.0,
hydro,石門#2,45.0,19:30,0.0,,19:40,0.0,,19:50,0.0,,20:00,0.0,,20:10,0.0,,20:20,0.0,,20:30,0.0,,20:40,0.0,,20:50,0.0,
hydro,曾文#1,50.0,19:30,0.0,,19:40,0.0,,19:50,0.0,,20:00,0.0,,20:10,0.0,,20:20,0.0,,20:30,0.0,,20:40,0.0,,20:50,0.0,
hydro,義興#1,40.0,19:30,0.0,,19:40,0.0,,19:50,0.0,,20:00,0.0,,20:10,0.0,,20:20,0.0,,20:30,0.0,,20:40,11.2,,20:50,13.2,
hydro,名間,16.7,19:30,0.0,,19:40,0.0,,19:50,0.0,,20:00,0.0,,20:10,0.0,,20:20,0.0,,20:30,0.0,,20:40,0.0,,20:50,0.0,
